transaction_id,sale_date,product_id,product_name,category,quantity,unit_price,total_amount,payment_method,customer_region
TXN-10801,2022-02-11 23:42:44,P20017,Premium Jeans v100,Fashion,4,53091.7,212366.8,UPI,North
TXN-11022,2022-02-12 17:39:31,P20013,Premium Boots v82,Footwear,1,28106.26,28106.26,Net Banking,West
TXN-10907,2022-02-12 21:46:30,P100006,Fossil Watch,Accessories,5,1568.27,7841.35,UPI,South
TXN-10435,2022-02-13 22:27:00,P100020,American Tourister Bag,Accessories,5,596.64,2983.2,Debit Card,North
TXN-10695,2022-02-15 17:28:20,P20016,Premium Jacket v77,Fashion,3,17755.36,53266.08,Debit Card,South
TXN-10501,2022-02-16 10:10:26,P20016,Premium Jacket v77,Fashion,5,17755.36,88776.8,Net Banking,South
TXN-10062,2022-02-17 20:57:55,P100026,HP Pavilion,Electronics,2,20719.78,41439.56,Net Banking,South
TXN-10228,2022-02-18 04:22:47,P20020,Premium Shirt v42,Fashion,1,10216.92,10216.92,Debit Card,Central
TXN-10653,2022-02-18 06:51:33,P20019,Premium Wallet v96,Accessories,3,22615.67,67847.01,Debit Card,South
TXN-10442,2022-02-18 23:03:57,P100027,Boat Earbuds,Electronics,5,16488.24,82441.2,UPI,West
TXN-10595,2022-02-22 14:23:12,P100034,Puma Jacket,Fashion,2,2772.0,5544.0,UPI,Central
TXN-10170,2022-02-25 03:49:10,P100027,Boat Earbuds,Electronics,5,16488.24,82441.2,Net Banking,East
TXN-10934,2022-02-26 17:13:24,P2003,Premium Running Shoes v27,Footwear,1,65156.0,65156.0,UPI,Central
TXN-10538,2022-02-27 03:18:57,P100002,RayBan Sunglasses,Accessories,3,548.1,1644.3,Credit Card,East
TXN-10970,2022-02-27 12:43:54,P20020,Premium Shirt v42,Fashion,5,10216.92,51084.6,Net Banking,North
TXN-11125,2022-02-28 17:11:58,P20016,Premium Jacket v77,Fashion,2,17755.36,35510.72,Debit Card,Central
TXN-10927,2022-03-02 15:38:33,P100007,Reebok Shoes,Footwear,5,1715.7,8578.5,Net Banking,South
TXN-10972,2022-03-02 19:53:44,P20016,Premium Jacket v77,Fashion,5,17755.36,88776.8,Net Banking,Central
TXN-10842,2022-03-03 00:48:21,P20020,Premium Shirt v42,Fashion,5,10216.92,51084.6,Debit Card,North
TXN-10388,2022-03-04 08:08:54,P100032,Nike Air Max,Footwear,3,369.3,1107.9,Debit Card,South
TXN-10627,2022-03-05 21:57:00,P20022,Premium Sweatshirt v3,Fashion,3,36897.57,110692.71,Credit Card,Central
TXN-10679,2022-03-09 04:30:16,P100017,Levi's Jeans,Fashion,5,2131.42,10657.1,Credit Card,East
TXN-10792,2022-03-11 12:11:44,P2007,Premium Sunglasses v59,Accessories,3,10099.76,30299.28,UPI,Central
TXN-10038,2022-03-12 07:18:13,P20016,Premium Jacket v77,Fashion,5,17755.36,88776.8,Credit Card,North
TXN-11193,2022-03-15 18:46:38,P2004,Premium Travel Bag v87,Accessories,2,32520.95,65041.9,UPI,West
TXN-10950,2022-03-15 22:54:01,P100020,American Tourister Bag,Accessories,2,596.64,1193.28,Net Banking,Central
TXN-11003,2022-03-19 07:09:05,P100027,Boat Earbuds,Electronics,3,16488.24,49464.72,UPI,West
TXN-10488,2022-03-20 08:18:42,P100020,American Tourister Bag,Accessories,4,596.64,2386.56,Credit Card,East
TXN-10370,2022-03-25 05:57:51,P100017,Levi's Jeans,Fashion,2,2131.42,4262.84,Debit Card,Central
TXN-10083,2022-03-28 02:18:41,P20020,Premium Shirt v42,Fashion,1,10216.92,10216.92,Debit Card,North
TXN-10466,2022-03-28 03:18:49,P20020,Premium Shirt v42,Fashion,4,10216.92,40867.68,Net Banking,South
TXN-11176,2022-03-28 09:32:53,P20021,Premium Travel Bag v85,Accessories,1,5197.41,5197.41,Debit Card,South
TXN-10470,2022-03-29 20:49:36,P20015,Premium Travel Bag v98,Accessories,4,25338.4,101353.6,UPI,East
TXN-10187,2022-04-03 11:42:07,P2002,Premium Headphones v82,Electronics,2,23300.55,46601.1,UPI,West
TXN-10841,2022-04-03 14:33:24,P20023,Premium Wallet v49,Accessories,5,2613.16,13065.8,UPI,South
TXN-10556,2022-04-04 13:37:52,P20019,Premium Wallet v96,Accessories,5,22615.67,113078.35,Credit Card,North
TXN-10002,2022-04-04 14:06:42,P100036,Samsung Galaxy S21,Electronics,5,16251.85,81259.25,Debit Card,West
TXN-11015,2022-04-05 05:14:26,P100020,American Tourister Bag,Accessories,3,596.64,1789.92,UPI,North
TXN-11140,2022-04-05 19:11:07,P20015,Premium Travel Bag v98,Accessories,5,25338.4,126692.0,Credit Card,West
TXN-10622,2022-04-06 11:42:43,P2008,Premium Headphones v48,Electronics,1,8780.67,8780.67,UPI,West
TXN-10459,2022-04-06 19:16:21,P2003,Premium Running Shoes v27,Footwear,1,65156.0,65156.0,Net Banking,South
TXN-10382,2022-04-10 20:19:14,P100012,OnePlus 11,Electronics,3,11066.5,33199.5,UPI,West
TXN-10586,2022-04-12 11:44:36,P100002,RayBan Sunglasses,Accessories,2,548.1,1096.2,UPI,Central
TXN-10891,2022-04-13 03:19:42,P20019,Premium Wallet v96,Accessories,5,22615.67,113078.35,Debit Card,South
TXN-10496,2022-04-13 23:19:39,P100004,Nike T-shirt,Fashion,4,822.15,3288.6,Credit Card,North
TXN-10241,2022-04-14 16:26:06,P100034,Puma Jacket,Fashion,2,2772.0,5544.0,Net Banking,Central
TXN-10080,2022-04-14 22:53:51,P100010,Adidas Hoodie,Fashion,1,1733.82,1733.82,UPI,Central
TXN-10625,2022-04-16 07:13:04,P20010,Premium Travel Bag v67,Accessories,1,9009.6,9009.6,Debit Card,Central
TXN-10482,2022-04-16 09:51:19,P100034,Puma Jacket,Fashion,1,2772.0,2772.0,Debit Card,South
TXN-10684,2022-04-16 15:50:02,P100010,Adidas Hoodie,Fashion,3,1733.82,5201.46,Net Banking,East
TXN-11115,2022-04-19 18:06:09,P100037,Adidas Ultraboost,Footwear,2,5873.12,11746.24,Credit Card,Central
TXN-10289,2022-04-20 05:35:03,P100006,Fossil Watch,Accessories,1,1568.27,1568.27,Net Banking,South
TXN-10490,2022-04-20 19:50:38,P100007,Reebok Shoes,Footwear,5,1715.7,8578.5,Net Banking,South
TXN-10660,2022-04-21 05:55:54,P20013,Premium Boots v82,Footwear,3,28106.26,84318.78,Net Banking,West
TXN-10642,2022-04-21 20:24:26,P100007,Reebok Shoes,Footwear,1,1715.7,1715.7,UPI,West
TXN-10310,2022-04-24 21:50:01,P20018,Premium Smartwatch v14,Electronics,5,4781.5,23907.5,Credit Card,North
TXN-10607,2022-04-25 12:28:08,P2005,Premium Travel Bag v36,Accessories,2,3262.44,6524.88,Debit Card,West
TXN-10832,2022-04-27 09:52:01,P100020,American Tourister Bag,Accessories,1,596.64,596.64,Debit Card,West
TXN-10645,2022-04-27 10:57:30,P100001,Zara Shirt,Fashion,4,1177.2,4708.8,Credit Card,East
TXN-11061,2022-04-29 14:41:11,P100020,American Tourister Bag,Accessories,5,596.64,2983.2,Net Banking,North
TXN-10764,2022-04-29 16:24:12,P20021,Premium Travel Bag v85,Accessories,4,5197.41,20789.64,Credit Card,East
TXN-11100,2022-04-29 16:25:02,P100007,Reebok Shoes,Footwear,4,1715.7,6862.8,Credit Card,Central
TXN-10735,2022-04-30 06:24:15,P100016,Sony Headphones,Electronics,5,21524.32,107621.6,Debit Card,South
TXN-10315,2022-05-02 08:44:54,P100034,Puma Jacket,Fashion,1,2772.0,2772.0,UPI,North
TXN-10010,2022-05-02 21:42:06,P2009,Premium Running Shoes v67,Footwear,2,3445.84,6891.68,Net Banking,West
TXN-10578,2022-05-03 21:38:50,P20018,Premium Smartwatch v14,Electronics,4,4781.5,19126.0,Credit Card,South
TXN-10238,2022-05-07 12:12:19,P100020,American Tourister Bag,Accessories,2,596.64,1193.28,Debit Card,East
TXN-10495,2022-05-08 22:18:24,P100020,American Tourister Bag,Accessories,1,596.64,596.64,Debit Card,East
TXN-10975,2022-05-10 09:14:17,P2008,Premium Headphones v48,Electronics,2,8780.67,17561.34,Credit Card,West
TXN-11117,2022-05-11 23:52:11,P100000,iPhone 13,Electronics,2,28109.96,56219.92,UPI,East
TXN-10554,2022-05-12 11:32:06,P20016,Premium Jacket v77,Fashion,1,17755.36,17755.36,Debit Card,North
TXN-10858,2022-05-15 08:48:40,P2005,Premium Travel Bag v36,Accessories,4,3262.44,13049.76,UPI,East
TXN-10217,2022-05-18 12:40:26,P100009,Wildcraft Backpack,Accessories,3,1136.1,3408.3,UPI,West
TXN-11056,2022-05-20 01:33:43,P100020,American Tourister Bag,Accessories,2,596.64,1193.28,Net Banking,West
TXN-10834,2022-05-20 06:46:33,P100027,Boat Earbuds,Electronics,1,16488.24,16488.24,Credit Card,North
TXN-10954,2022-05-20 13:17:41,P100027,Boat Earbuds,Electronics,4,16488.24,65952.96,UPI,South
TXN-10288,2022-05-20 14:40:14,P20013,Premium Boots v82,Footwear,2,28106.26,56212.52,Net Banking,South
TXN-10716,2022-05-24 04:04:37,P100007,Reebok Shoes,Footwear,3,1715.7,5147.1,UPI,East
TXN-10347,2022-05-24 08:34:28,P2005,Premium Travel Bag v36,Accessories,5,3262.44,16312.2,Debit Card,South
TXN-10093,2022-05-28 01:06:37,P100020,American Tourister Bag,Accessories,3,596.64,1789.92,UPI,Central
TXN-10675,2022-05-28 07:16:50,P20012,Premium Smartphone v3,Electronics,4,23016.96,92067.84,UPI,South
TXN-10425,2022-05-28 10:45:43,P100012,OnePlus 11,Electronics,1,11066.5,11066.5,UPI,North
TXN-10303,2022-05-29 09:39:11,P2003,Premium Running Shoes v27,Footwear,5,65156.0,325780.0,Credit Card,West
TXN-10309,2022-05-29 10:57:28,P100032,Nike Air Max,Footwear,4,369.3,1477.2,Debit Card,East
TXN-11198,2022-05-29 19:22:21,P20014,Premium Travel Bag v68,Accessories,3,5338.74,16016.22,Net Banking,West
TXN-11051,2022-05-30 00:03:45,P100004,Nike T-shirt,Fashion,5,822.15,4110.75,UPI,East
TXN-10712,2022-05-31 17:30:35,P20015,Premium Travel Bag v98,Accessories,5,25338.4,126692.0,Credit Card,East
TXN-10328,2022-06-01 00:35:25,P100026,HP Pavilion,Electronics,3,20719.78,62159.34,UPI,West
TXN-10060,2022-06-01 20:55:45,P100009,Wildcraft Backpack,Accessories,5,1136.1,5680.5,UPI,South
TXN-11062,2022-06-02 06:31:12,P100026,HP Pavilion,Electronics,4,20719.78,82879.12,Net Banking,North
TXN-10036,2022-06-02 22:02:19,P100001,Zara Shirt,Fashion,5,1177.2,5886.0,UPI,West
TXN-10582,2022-06-03 04:17:30,P100012,OnePlus 11,Electronics,3,11066.5,33199.5,Debit Card,East
TXN-10147,2022-06-03 18:31:36,P20015,Premium Travel Bag v98,Accessories,2,25338.4,50676.8,Net Banking,West
TXN-10326,2022-06-05 10:15:50,P20015,Premium Travel Bag v98,Accessories,4,25338.4,101353.6,Debit Card,West
TXN-10108,2022-06-06 08:04:29,P20017,Premium Jeans v100,Fashion,3,53091.7,159275.1,Net Banking,East
TXN-10460,2022-06-08 07:03:05,P20016,Premium Jacket v77,Fashion,1,17755.36,17755.36,Net Banking,North
TXN-10297,2022-06-10 00:48:47,P20017,Premium Jeans v100,Fashion,3,53091.7,159275.1,Net Banking,West
TXN-10334,2022-06-10 06:16:24,P20022,Premium Sweatshirt v3,Fashion,4,36897.57,147590.28,Debit Card,North
TXN-10352,2022-06-10 07:07:27,P100012,OnePlus 11,Electronics,5,11066.5,55332.5,UPI,West
TXN-10052,2022-06-11 06:13:19,P100004,Nike T-shirt,Fashion,2,822.15,1644.3,Credit Card,Central
TXN-10826,2022-06-11 13:10:52,P2000,Premium Sneakers v11,Footwear,4,59534.85,238139.4,Net Banking,North
TXN-10047,2022-06-11 13:48:15,P2006,Premium Boots v22,Footwear,4,55880.0,223520.0,UPI,West
TXN-10664,2022-06-12 14:45:39,P100000,iPhone 13,Electronics,4,28109.96,112439.84,Net Banking,East
TXN-10987,2022-06-15 02:23:23,P20019,Premium Wallet v96,Accessories,5,22615.67,113078.35,Debit Card,West
TXN-11195,2022-06-15 08:55:13,P20010,Premium Travel Bag v67,Accessories,4,9009.6,36038.4,UPI,West
TXN-10819,2022-06-15 12:16:11,P100004,Nike T-shirt,Fashion,4,822.15,3288.6,Net Banking,South
TXN-11186,2022-06-15 17:25:10,P20018,Premium Smartwatch v14,Electronics,4,4781.5,19126.0,Credit Card,Central
TXN-10900,2022-06-18 08:16:43,P100010,Adidas Hoodie,Fashion,4,1733.82,6935.28,Debit Card,North
TXN-10476,2022-06-18 10:23:19,P2005,Premium Travel Bag v36,Accessories,1,3262.44,3262.44,UPI,North
TXN-10897,2022-06-21 01:27:53,P2007,Premium Sunglasses v59,Accessories,5,10099.76,50498.8,Debit Card,Central
TXN-10188,2022-06-22 10:43:32,P100027,Boat Earbuds,Electronics,5,16488.24,82441.2,Debit Card,South
TXN-10860,2022-06-23 22:45:55,P100034,Puma Jacket,Fashion,4,2772.0,11088.0,UPI,West
TXN-10337,2022-06-25 10:26:43,P20015,Premium Travel Bag v98,Accessories,3,25338.4,76015.2,Credit Card,Central
TXN-10089,2022-06-26 02:35:04,P100036,Samsung Galaxy S21,Electronics,1,16251.85,16251.85,Credit Card,North
TXN-10914,2022-06-27 15:11:16,P100007,Reebok Shoes,Footwear,3,1715.7,5147.1,UPI,East
TXN-10332,2022-06-27 15:31:28,P20023,Premium Wallet v49,Accessories,5,2613.16,13065.8,Debit Card,North
TXN-10497,2022-06-28 03:44:41,P20021,Premium Travel Bag v85,Accessories,4,5197.41,20789.64,Debit Card,Central
TXN-10389,2022-06-28 09:26:16,P100007,Reebok Shoes,Footwear,1,1715.7,1715.7,UPI,East
TXN-10862,2022-06-29 03:14:14,P2005,Premium Travel Bag v36,Accessories,4,3262.44,13049.76,Credit Card,West
TXN-10405,2022-06-29 21:43:45,P100027,Boat Earbuds,Electronics,3,16488.24,49464.72,UPI,East
TXN-10846,2022-06-30 04:28:44,P2002,Premium Headphones v82,Electronics,3,23300.55,69901.65,Net Banking,North
TXN-10917,2022-07-01 00:50:34,P2003,Premium Running Shoes v27,Footwear,1,65156.0,65156.0,Credit Card,Central
TXN-11132,2022-07-01 18:31:19,P100026,HP Pavilion,Electronics,5,20719.78,103598.9,UPI,North
TXN-10739,2022-07-02 20:26:37,P2007,Premium Sunglasses v59,Accessories,2,10099.76,20199.52,UPI,East
TXN-10182,2022-07-03 07:16:41,P20019,Premium Wallet v96,Accessories,3,22615.67,67847.01,Debit Card,North
TXN-10420,2022-07-04 00:10:36,P100037,Adidas Ultraboost,Footwear,1,5873.12,5873.12,Net Banking,South
TXN-10504,2022-07-06 13:49:33,P100000,iPhone 13,Electronics,1,28109.96,28109.96,Credit Card,East
TXN-11169,2022-07-07 08:24:18,P100020,American Tourister Bag,Accessories,1,596.64,596.64,Net Banking,Central
TXN-10569,2022-07-08 10:29:12,P100016,Sony Headphones,Electronics,5,21524.32,107621.6,Credit Card,North
TXN-10026,2022-07-09 13:54:24,P20019,Premium Wallet v96,Accessories,4,22615.67,90462.68,Net Banking,Central
TXN-11152,2022-07-10 16:45:17,P2007,Premium Sunglasses v59,Accessories,5,10099.76,50498.8,Credit Card,West
TXN-10635,2022-07-10 20:53:05,P20016,Premium Jacket v77,Fashion,5,17755.36,88776.8,Credit Card,South
TXN-11153,2022-07-14 01:20:42,P100032,Nike Air Max,Footwear,4,369.3,1477.2,Credit Card,Central
TXN-10833,2022-07-14 01:59:18,P20019,Premium Wallet v96,Accessories,5,22615.67,113078.35,Debit Card,West
TXN-10589,2022-07-14 06:39:37,P20022,Premium Sweatshirt v3,Fashion,1,36897.57,36897.57,Debit Card,North
TXN-10341,2022-07-15 05:21:06,P100026,HP Pavilion,Electronics,5,20719.78,103598.9,Debit Card,South
TXN-10948,2022-07-17 13:02:18,P100000,iPhone 13,Electronics,1,28109.96,28109.96,UPI,Central
TXN-10342,2022-07-17 15:45:03,P20013,Premium Boots v82,Footwear,5,28106.26,140531.3,Net Banking,Central
TXN-10251,2022-07-17 20:34:12,P20014,Premium Travel Bag v68,Accessories,2,5338.74,10677.48,Credit Card,South
TXN-10237,2022-07-19 00:30:31,P20015,Premium Travel Bag v98,Accessories,4,25338.4,101353.6,UPI,Central
TXN-10368,2022-07-19 03:23:51,P20018,Premium Smartwatch v14,Electronics,1,4781.5,4781.5,Credit Card,North
TXN-10869,2022-07-19 03:52:11,P2006,Premium Boots v22,Footwear,2,55880.0,111760.0,UPI,South
TXN-10292,2022-07-20 08:20:24,P100026,HP Pavilion,Electronics,5,20719.78,103598.9,Net Banking,Central
TXN-10212,2022-07-21 21:03:01,P100010,Adidas Hoodie,Fashion,5,1733.82,8669.1,UPI,West
TXN-10500,2022-07-23 16:52:13,P20016,Premium Jacket v77,Fashion,3,17755.36,53266.08,Credit Card,South
TXN-11128,2022-07-23 19:21:53,P100032,Nike Air Max,Footwear,4,369.3,1477.2,Net Banking,East
TXN-11135,2022-07-25 09:01:16,P100009,Wildcraft Backpack,Accessories,5,1136.1,5680.5,Net Banking,West
TXN-10812,2022-07-29 01:49:47,P100003,Puma Sneakers,Footwear,2,2988.4,5976.8,UPI,North
TXN-11019,2022-08-02 02:48:41,P20021,Premium Travel Bag v85,Accessories,2,5197.41,10394.82,UPI,South
TXN-10049,2022-08-02 06:31:48,P100043,H&M Sweatshirt,Fashion,1,1639.44,1639.44,UPI,East
TXN-10499,2022-08-03 21:34:13,P20011,Premium Travel Bag v3,Accessories,2,8918.94,17837.88,Debit Card,South
TXN-10649,2022-08-03 21:38:22,P100026,HP Pavilion,Electronics,2,20719.78,41439.56,UPI,North
TXN-10125,2022-08-05 14:33:29,P20021,Premium Travel Bag v85,Accessories,2,5197.41,10394.82,Credit Card,West
TXN-10913,2022-08-05 20:24:00,P2004,Premium Travel Bag v87,Accessories,5,32520.95,162604.75,Debit Card,East
TXN-10702,2022-08-06 19:21:55,P20016,Premium Jacket v77,Fashion,3,17755.36,53266.08,Credit Card,Central
TXN-10690,2022-08-07 03:09:37,P100012,OnePlus 11,Electronics,1,11066.5,11066.5,UPI,West
TXN-10520,2022-08-08 20:20:14,P20011,Premium Travel Bag v3,Accessories,3,8918.94,26756.82,Debit Card,East
TXN-11025,2022-08-11 08:22:30,P100127,Dell Laptop,Electronics,1,46702.04,46702.04,UPI,West
TXN-10035,2022-08-12 12:00:15,P2000,Premium Sneakers v11,Footwear,1,59534.85,59534.85,Debit Card,West
TXN-10088,2022-08-14 00:44:49,P100002,RayBan Sunglasses,Accessories,5,548.1,2740.5,Credit Card,South
TXN-10011,2022-08-16 07:54:12,P2003,Premium Running Shoes v27,Footwear,3,65156.0,195468.0,Debit Card,Central
TXN-10616,2022-08-16 15:58:29,P20013,Premium Boots v82,Footwear,5,28106.26,140531.3,UPI,North
TXN-11192,2022-08-18 00:58:17,P2002,Premium Headphones v82,Electronics,1,23300.55,23300.55,Debit Card,North
TXN-10094,2022-08-20 04:45:09,P20019,Premium Wallet v96,Accessories,1,22615.67,22615.67,UPI,South
TXN-10078,2022-08-22 01:10:23,P100000,iPhone 13,Electronics,5,28109.96,140549.8,Debit Card,Central
TXN-11073,2022-08-22 20:57:42,P20021,Premium Travel Bag v85,Accessories,5,5197.41,25987.05,Net Banking,West
TXN-10359,2022-08-24 01:31:52,P100127,Dell Laptop,Electronics,3,46702.04,140106.12,Credit Card,North
TXN-10256,2022-08-24 06:05:03,P20016,Premium Jacket v77,Fashion,4,17755.36,71021.44,Credit Card,West
TXN-11081,2022-08-24 14:13:07,P2002,Premium Headphones v82,Electronics,3,23300.55,69901.65,UPI,South
TXN-11148,2022-08-25 01:14:18,P2004,Premium Travel Bag v87,Accessories,3,32520.95,97562.85,UPI,North
TXN-11093,2022-08-26 18:51:07,P20016,Premium Jacket v77,Fashion,5,17755.36,88776.8,Credit Card,West
TXN-10121,2022-08-28 02:06:42,P20016,Premium Jacket v77,Fashion,2,17755.36,35510.72,UPI,Central
TXN-11000,2022-08-29 22:06:34,P100009,Wildcraft Backpack,Accessories,3,1136.1,3408.3,Net Banking,Central
TXN-10511,2022-08-30 05:42:08,P100003,Puma Sneakers,Footwear,2,2988.4,5976.8,Debit Card,South
TXN-11031,2022-08-30 20:22:40,P100032,Nike Air Max,Footwear,4,369.3,1477.2,UPI,Central
TXN-10165,2022-08-31 16:58:30,P100009,Wildcraft Backpack,Accessories,5,1136.1,5680.5,Credit Card,East
TXN-10299,2022-09-02 02:25:45,P20015,Premium Travel Bag v98,Accessories,3,25338.4,76015.2,Credit Card,Central
TXN-10787,2022-09-03 02:05:23,P20021,Premium Travel Bag v85,Accessories,2,5197.41,10394.82,Net Banking,South
TXN-11108,2022-09-04 19:53:44,P100026,HP Pavilion,Electronics,5,20719.78,103598.9,Debit Card,South
TXN-11196,2022-09-06 18:33:07,P100003,Puma Sneakers,Footwear,4,2988.4,11953.6,UPI,North
TXN-10462,2022-09-09 14:07:10,P2005,Premium Travel Bag v36,Accessories,2,3262.44,6524.88,Net Banking,East
TXN-10711,2022-09-10 15:10:53,P20019,Premium Wallet v96,Accessories,1,22615.67,22615.67,Credit Card,North
TXN-10798,2022-09-11 00:04:47,P20014,Premium Travel Bag v68,Accessories,1,5338.74,5338.74,Net Banking,South
TXN-10381,2022-09-11 07:14:28,P100007,Reebok Shoes,Footwear,3,1715.7,5147.1,Net Banking,North
TXN-10802,2022-09-12 09:03:05,P100043,H&M Sweatshirt,Fashion,1,1639.44,1639.44,UPI,North
TXN-10422,2022-09-12 10:28:06,P2007,Premium Sunglasses v59,Accessories,1,10099.76,10099.76,UPI,Central
TXN-10943,2022-09-12 23:50:18,P20022,Premium Sweatshirt v3,Fashion,3,36897.57,110692.71,Debit Card,East
TXN-11178,2022-09-15 12:02:34,P20022,Premium Sweatshirt v3,Fashion,3,36897.57,110692.71,Credit Card,South
TXN-11012,2022-09-15 22:49:54,P100001,Zara Shirt,Fashion,4,1177.2,4708.8,Credit Card,West
TXN-10626,2022-09-17 23:43:53,P20017,Premium Jeans v100,Fashion,4,53091.7,212366.8,Debit Card,West
TXN-10699,2022-09-19 13:03:05,P20022,Premium Sweatshirt v3,Fashion,2,36897.57,73795.14,Debit Card,South
TXN-11004,2022-09-22 13:05:03,P20012,Premium Smartphone v3,Electronics,2,23016.96,46033.92,Credit Card,East
TXN-10555,2022-09-22 19:36:18,P100010,Adidas Hoodie,Fashion,1,1733.82,1733.82,Net Banking,West
TXN-10981,2022-09-23 21:59:29,P100127,Dell Laptop,Electronics,3,46702.04,140106.12,Credit Card,South
TXN-10280,2022-09-24 17:13:57,P20014,Premium Travel Bag v68,Accessories,1,5338.74,5338.74,Credit Card,Central
TXN-10004,2022-09-25 02:50:32,P20018,Premium Smartwatch v14,Electronics,1,4781.5,4781.5,Debit Card,North
TXN-10600,2022-09-30 00:14:45,P100026,HP Pavilion,Electronics,4,20719.78,82879.12,Credit Card,Central
TXN-10517,2022-10-02 05:41:40,P2003,Premium Running Shoes v27,Footwear,5,65156.0,325780.0,Credit Card,Central
TXN-10019,2022-10-02 22:34:32,P100017,Levi's Jeans,Fashion,4,2131.42,8525.68,Debit Card,East
TXN-11156,2022-10-06 01:38:38,P2008,Premium Headphones v48,Electronics,4,8780.67,35122.68,Credit Card,South
TXN-10139,2022-10-10 00:19:33,P100017,Levi's Jeans,Fashion,1,2131.42,2131.42,Debit Card,North
TXN-10698,2022-10-10 06:33:59,P20017,Premium Jeans v100,Fashion,2,53091.7,106183.4,UPI,North
TXN-11167,2022-10-11 04:03:29,P20023,Premium Wallet v49,Accessories,5,2613.16,13065.8,Credit Card,North
TXN-10810,2022-10-11 17:57:34,P100036,Samsung Galaxy S21,Electronics,1,16251.85,16251.85,Credit Card,North
TXN-10558,2022-10-12 06:42:59,P20010,Premium Travel Bag v67,Accessories,1,9009.6,9009.6,Credit Card,East
TXN-10926,2022-10-14 14:00:59,P100037,Adidas Ultraboost,Footwear,5,5873.12,29365.6,Net Banking,East
TXN-10584,2022-10-18 15:58:13,P20010,Premium Travel Bag v67,Accessories,4,9009.6,36038.4,Debit Card,South
TXN-10940,2022-10-18 17:44:36,P20014,Premium Travel Bag v68,Accessories,5,5338.74,26693.7,Net Banking,South
TXN-10127,2022-10-20 11:23:37,P100010,Adidas Hoodie,Fashion,4,1733.82,6935.28,Net Banking,West
TXN-10850,2022-10-21 12:31:39,P20020,Premium Shirt v42,Fashion,2,10216.92,20433.84,Credit Card,South
