product_id,product_name,brand,category,subcategory,price,currency,discount_percent,discounted_price,rating,reviews_count,popularity_score,stock_status,date_added,description,image_url
P20011,Premium Travel Bag v3,GenericBrand,Accessories,Travel Bag,19389,INR,54,8918.939999999999,4.3,1087,2278.8,In Stock,2025-01-01,A premium Travel Bag designed for comfort and style.,https://images.unsplash.com/photo-1547949003-9792a18a2601?w=800
P20012,Premium Smartphone v3,GenericBrand,Electronics,Smartphone,42624,INR,46,23016.960000000003,4.9,4552,5286.2,In Stock,2025-01-01,A premium Smartphone designed for comfort and style.,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=800
P20013,Premium Boots v82,GenericBrand,Footwear,Boots,30886,INR,9,28106.260000000002,3.5,449,16093.6,In Stock,2025-01-01,A premium Boots designed for comfort and style.,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800
P20014,Premium Travel Bag v68,GenericBrand,Accessories,Travel Bag,8089,INR,34,5338.74,4.1,1127,2412.7,Limited Stock,2025-01-01,A premium Travel Bag designed for comfort and style.,https://images.unsplash.com/photo-1547949003-9792a18a2601?w=800
P20015,Premium Travel Bag v98,GenericBrand,Accessories,Travel Bag,63346,INR,60,25338.4,4.3,4455,18745.3,In Stock,2025-01-01,A premium Travel Bag designed for comfort and style.,https://images.unsplash.com/photo-1547949003-9792a18a2601?w=800
P20016,Premium Jacket v77,GenericBrand,Fashion,Jacket,31706,INR,44,17755.36,4.7,672,4388.4,In Stock,2025-01-01,A premium Jacket designed for comfort and style.,https://images.unsplash.com/photo-1551028711-031c50728a63?w=800
P20017,Premium Jeans v100,GenericBrand,Fashion,Jeans,55886,INR,5,53091.7,3.9,1167,9546.5,In Stock,2025-01-01,A premium Jeans designed for comfort and style.,https://images.unsplash.com/photo-1542272604-787c3835535d?w=800
P20018,Premium Smartwatch v14,GenericBrand,Electronics,Smartwatch,9563,INR,50,4781.5,4.1,4831,18752.3,Limited Stock,2025-01-01,A premium Smartwatch designed for comfort and style.,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800
P20019,Premium Wallet v96,GenericBrand,Accessories,Wallet,29371,INR,23,22615.670000000002,4.7,2701,8175.2,Limited Stock,2025-01-01,A premium Wallet designed for comfort and style.,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800
P20020,Premium Shirt v42,GenericBrand,Fashion,Shirt,12163,INR,16,10216.92,3.9,589,14321.3,In Stock,2025-01-01,A premium Shirt designed for comfort and style.,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800
P20021,Premium Travel Bag v85,GenericBrand,Accessories,Travel Bag,10191,INR,49,5197.41,4.6,4489,14984.1,In Stock,2025-01-01,A premium Travel Bag designed for comfort and style.,https://images.unsplash.com/photo-1547949003-9792a18a2601?w=800
P20022,Premium Sweatshirt v3,GenericBrand,Fashion,Sweatshirt,55071,INR,33,36897.57,4.8,909,5709.7,In Stock,2025-01-01,A premium Sweatshirt designed for comfort and style.,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800
P20023,Premium Wallet v49,GenericBrand,Accessories,Wallet,5939,INR,56,2613.16,4.0,4725,5305.3,Limited Stock,2025-01-01,A premium Wallet designed for comfort and style.,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800
